sub_section_name,is_relevant,section_name,main_section
LAB:,Yes,CARDIAC CATHETERIZATION / EP LAB RECORD,OPERATIVE REPORT
PRE PROCEDURAL DIAGNOSIS,Yes,Cardiac Catheterization Report,OPERATIVE REPORT
PHYSICIAN ATTESTATION,No,CARDIOLOGY CONSULT PROGRESS NOTE,Progress Note
Medications,Yes,CARDIOLOGY CONSULTATION,CONSULTATION REPORT
Imaging,Yes,Cardiology Critical Care Progress Note,Progress Note
physical exam,Yes,Cardiology Initial Consult Note,CONSULTATION REPORT
implants,Yes,Cardiology procedure,OPERATIVE REPORT
EXAM,Yes,Cardiology Procedures,OPERATIVE REPORT
Assessment and Plan,Yes,Cardiology progress Note,Progress Note
Assessment & Plan for today,Yes,CARDIOLOGY PROGRESS NOTE,Progress Note
REVIEW OF SYSTEMS:,Yes,Cardiology Progress note,Progress Note
Labs reviewed,Yes,Cardiothoracic & Transplant Surgery Progress Note,Progress Note
Physical Examination,Yes,Cardio-Thoracic Surgery,CONSULTATION REPORT
Famiy History,Yes,CARDIOTHORACIC-VASCULAR SURGERY CONSULT NOTE,CONSULTATION REPORT
History of Present Illness,Yes,CARDIOVASCULAR AND THORACIC SURGERY,Progress Note
 Home Medications,Yes,CARDIOVASCULAR DIABETES CONSULT H&P,CONSULTATION REPORT
ASSESSMENT - MEDICINE,Yes,Case Management Progress Note,Progress Note
TELEMETRY,No,CASE MANAGEMENT PROGRESS NOTE,Progress Note
operative procedure techniques,Yes,Central Venous Catheter Insertion,OPERATIVE REPORT
PLAN,Yes,Clinical Documents,OPERATIVE REPORT
DISPOSITION,Yes,CLINICAL NOTE,OPERATIVE REPORT
DATE OF PROCEDURE,Yes,Clinical Notes,Progress Note
Operative Data,Yes,Clinical Notes,OPERATIVE REPORT
Cath Attending Admission H&P,Yes,Clinical Summary,Progress Note
Procedure Notes,Yes,"Consentfor,Anesthesia / Moderate Sedation",Anesthesia Reports
Family History,Yes,Consult,CONSULTATION REPORT
Chief Complaint,Yes,Consult Note,CONSULTATION REPORT
Diagnostic results,Yes,Consult Note - Medical-Internal Medicine,CONSULTATION REPORT
Substance Use History,Yes,Consult Note*-NS - Neurosciences,CONSULTATION REPORT
Social History,Yes,Consult Notes,CONSULTATION REPORT
History of Present Illness,Yes,Consultation,CONSULTATION REPORT
Estimated blood loss,Yes,CONSULTATION,CONSULTATION REPORT
Hematology,Yes,Consultation,CONSULTATION REPORT
Hematology Basic - Last 36 hours (20),Yes,Consultation,CONSULTATION REPORT
Cells,Yes,Consultation,CONSULTATION REPORT
Leukocycte Data,Yes,Consultation,CONSULTATION REPORT
Differential,Yes,Consultation,CONSULTATION REPORT
Morphology,No,Consultation,CONSULTATION REPORT
Laboratory Data:,Yes,Consultation,CONSULTATION REPORT
Hematology Basic - Last 36 hours (20),Yes,Consultation,CONSULTATION REPORT
Urinalysis - Last 36 hours (18),Yes,Consultation,CONSULTATION REPORT
Lab Results,Yes,Consultation,CONSULTATION REPORT
Labs,Yes,Consultation,CONSULTATION REPORT
Results,Yes,Consultation,CONSULTATION REPORT
Basic Metabolic Panel,Yes,Consultation,CONSULTATION REPORT
CBC,Yes,Consultation Note,CONSULTATION REPORT
CBC WITH DIFFERENTIAL,Yes,Consultation Note,CONSULTATION REPORT
CBC WITHOUT DIFFERENTIAL,Yes,Consultation Note,CONSULTATION REPORT
Urinalysis,Yes,Consultation Note,CONSULTATION REPORT
Urinalysis - Last 36 hours (18),Yes,Consultation Note,CONSULTATION REPORT
Reason for Consultation,Yes,Consultation Notes,CONSULTATION REPORT
Laboratory Data:,Yes,Consultation Notes,CONSULTATION REPORT
Hematology Basic - Last 36 hours (20),Yes,Consultation Notes,CONSULTATION REPORT
Past Surgical History,Yes,CONSULTATION REPORT,CONSULTATION REPORT
LABORATORY STUDIES:,Yes,CONSULTATION REPORT,CONSULTATION REPORT
Past Medical History,Yes,Consultations,CONSULTATION REPORT
Plan,Yes,Consulting physician,CONSULTATION REPORT
Health Status,Yes,consults,CONSULTATION REPORT
Assessment,Yes,Consults,CONSULTATION REPORT
Labs:,Yes,Consults,CONSULTATION REPORT
LABS / RADIOLOGY :,Yes,Consults,CONSULTATION REPORT
Recent Labs,Yes,Consults,CONSULTATION REPORT
ASSESSMENT :,Yes,Consults,CONSULTATION REPORT
PLAN :,Yes,Consults,CONSULTATION REPORT
Lab Results,Yes,Consults,CONSULTATION REPORT
Labs:,Yes,Consults - All Other Notes (continued),CONSULTATION REPORT
LABS / RADIOLOGY :,Yes,Consults - All Other Notes (continued),CONSULTATION REPORT
Recent Labs,Yes,Consults - All Other Notes (continued),CONSULTATION REPORT
ASSESSMENT :,Yes,Consults - All Other Notes (continued),CONSULTATION REPORT
PLAN :,Yes,Consults - All Other Notes (continued),CONSULTATION REPORT
Lab Results,Yes,Consults - All Other Notes (continued),CONSULTATION REPORT
Objective:,Yes,Consults - All Other Notes (continued),CONSULTATION REPORT
Imaging:,Yes,Consults - All Other Notes (continued),CONSULTATION REPORT
Admitting HPI,Yes,Cranlofaclal Plastic Surgery Progress Note,Progress Note
Type of Study,Yes,Critical Care,Progress Note
Impression and Plan,Yes,Critical Care Consult Note,CONSULTATION REPORT
SUBJECTIVE/OBJECTIVE,Yes,CRITICAL CARE DAILY NOTE,Progress Note
Radiology/Imaging last 72 hours,No,Critical Care Note,Progress Note
Recommendations,Yes,Critical Care Progress Note,Progress Note
Physical Exam,Yes,Critical Care/ICU Progress Note,Progress Note
Review / Managemen,Yes,CRITICALCARE PROGRESS NOTE,Progress Note
operative procedures performed,Yes,CT surgery preop evaluation note,OPERATIVE REPORT
HOSPITAL MEDICATIONS,Yes,CV DIABETES CONSULT DAILY PROGRESS NOTE,Progress Note
BMP:,Yes,CVT PROGRESS NOTE:,Progress Note
LFTS: ,Yes,CVT PROGRESS NOTE:,Progress Note
Recent pertinent labs:,Yes,CVT PROGRESS NOTE:,Progress Note
Labs:,Yes,CVT PROGRESS NOTE:,Progress Note
Coagulation: ,Yes,CVT PROGRESS NOTE:,Progress Note
SUBJECTIVE,Yes,CVT PROGRESS NOTE:,Progress Note
OBJECTTIVE,Yes,CVT PROGRESS NOTE:,Progress Note
Plan,Yes,CVT PROGRESS NOTE:,Progress Note
Imaging:,Yes,CVT PROGRESS NOTE:,Progress Note
Labs/Imaging,Yes,DAILY MEDICINE PROGRESS NOTE,Progress Note
IMAGING,No,Death summary,Discharge Summary
Results,No,DEPARTMENT OF MEDICINE,CONSULTATION REPORT
Basic Information,No,Discharge Documentation,Discharge Summary
Instructions,Yes,DISCHARGE INFORMATION,Discharge Summary
Current medications,Yes,Discharge Information (continued),Discharge Summary
FINAL REPORT ,Yes,Discharge Instructions,Discharge Summary
Admitting HPI,Yes,Discharge Medication List,Discharge Summary
Narrative Hospital course,Yes,DISCHARGE NOTE,Discharge Summary
Impression and Plan,Yes,Discharge Planner Note,Discharge Summary
Disposition,Yes,Discharge Planner Note,Discharge Summary
General Information,Yes,Discharge Recommendations,Discharge Summary
Discharge Diagnosis,Yes,Discharge Summaries,Discharge Summary
Hospital Course,Yes,Discharge Summaries (continued),Discharge Summary
Consultants,Yes,Discharge Summary,Discharge Summary
VITAL SIGNS ON THE DAYS OF DISCHARGE,Yes,DISCHARGE SUMMARY,Discharge Summary
Laboratory Tests,Yes,Discharge Summary,Discharge Summary
Labs,Yes,Discharge Summary,Discharge Summary
Admitting HP,Yes,Discharge Summary (continued),Discharge Summary
ALL DISCHARGE MEDICATIONS,Yes,Discharge summary (inpatient) advanced practice provider-Dis,Discharge Summary
Plan,Yes,Discharge Summary Note,Discharge Summary
Procedure,Yes,Discharge Summary Note (continued),Discharge Summary
Assessment,Yes,Discharge Summary:,Discharge Summary
home medications,Yes,ED Note-Physician,Emergency provider report
diagnostics,Yes,ED Notes,Emergency provider report
CBC with DIFF,Yes,ED Notes,Emergency provider report
medical dicision making,Yes,ED PATIENT DISCHARGE INFORMATION,Emergency provider report
Lab Results,Yes,ED Physician Documentation,Emergency provider report
allergies,Yes,ED Provider Note,Emergency provider report
laboratory,Yes,ED Provider Note,Emergency provider report
Lab Results:,Yes,ED Provider Note,Emergency provider report
CBC AND DIFFERENTIAL - Abnormal,Yes,ED Provider Note,Emergency provider report
assessment/plan,Yes,ED Provider Note (,Emergency provider report
current medications,Yes,ED Provider Notes,Emergency provider report
mode of arrival,Yes,ED Provider Notes - ED Notes,Emergency provider report
plan,Yes,ED Record,Emergency provider report
labs,Yes,ED Records,Emergency provider report
assessment,Yes,ED to Hosp-Admission,Emergency provider report
history of present illness,Yes,Emergency Department Chart,Emergency provider report
Results,Yes,Emergency Department Chart,Emergency provider report
chief complaint,Yes,Emergency department reports,Emergency provider report
Review of systems,Yes,Emergency Department Reports,Emergency provider report
physical exam,Yes,Emergency Documentation,Emergency provider report
Ed course,Yes,Emergency Documentations,Emergency provider report
past medical history,Yes,Emergency Medicine,Emergency provider report
present medical history,Yes,EMERGENCY PROVIDER REPORT,Emergency provider report
past surgical history,Yes,Emergency provider report,Emergency provider report
social history,Yes,Emergency Report,Emergency provider report
HISTORY OF PRESENT ILLNESS,Yes,EMERGENCY ROOM RECORD,Emergency provider report
REVIEW OF SYSTEMS,Yes,EMERGENCY ROOM RECORD,Emergency provider report
PAST HISTORY,No,EMERGENCY ROOM RECORD,Emergency provider report
PAST HISTORY,No,EMERGENCY ROOM RECORD,Emergency provider report
PHYSICAL EXAM,Yes,EMERGENCY ROOM RECORD,Emergency provider report
ADDITIONAL NOTES,Yes,EMERGENCY ROOM RECORD,Emergency provider report
"LABS, X-RAYS, AND EKG",Yes,EMERGENCY ROOM RECORD,Emergency provider report
Laboratory Tests:,Yes,EMERGENCY ROOM RECORD,Emergency provider report
Urine Microscopic Exam:,No,EMERGENCY ROOM RECORD,Emergency provider report
CMP: (COLL: 06/07/2021 23:55),Yes,EMERGENCY ROOM RECORD,Emergency provider report
Final Results,Yes,EMERGENCY ROOM RECORD,Emergency provider report
Results,No,Emergency/Trauma Documentation,Emergency provider report
impression,Yes,Emergency/Urgent Care,Emergency provider report
disposition,Yes,Emergency/Urgent Care,Emergency provider report
ed procedures,Yes,Emergency/Urgent Care,Emergency provider report
transfer note,No,Emergency/Urgent Care,Emergency provider report
vital signs,No,Emergency/Urgent Care,Emergency provider report
objective,Yes,Emergency/Urgent Care,Emergency provider report
Free text HPI notes,Yes,Emergency/Urgent Care,Emergency provider report
"Diagnosis, Assessment &  Plan",Yes,Emergency/Urgent Care,Emergency provider report
Social & Psychosocial Habits,No,Emergency/Urgent Care,Emergency provider report
Social & Psychosocial Habit,No,Emergency/Urgent Care,Emergency provider report
nterpretation & Diagnostics,Yes,Emergency/Urgent Care,Emergency provider report
 Past Medical/ Family/ Social History,Yes,Emergency/Urgent Care,Emergency provider report
discharge/Care Plan,Yes,Emergency/Urgent Care,Emergency provider report
ros,Yes,Emergency/Urgent Care,Emergency provider report
Free Text Risk Notes,Yes,Emergency/Urgent Care,Emergency provider report
Free Text PE Notes,Yes,Emergency/Urgent Care,Emergency provider report
Re-Evaluation & MDM,Yes,Emergency/Urgent Care,Emergency provider report
Interpretation & Diagnostics,Yes,Emergency/Urgent Care,Emergency provider report
Lab & Imaging Statement,Yes,Emergency/Urgent Care,Emergency provider report
Re-Evaluation& MDM,Yes,Emergency/Urgent Care,Emergency provider report
Patient Discharge & Departure,Yes,Emergency/Urgent Care,Emergency provider report
ROS Statements,Yes,Emergency/Urgent Care,Emergency provider report
Free Text PE Note,Yes,Emergency/Urgent Care,Emergency provider report
HPI-Stroke/CVA,Yes,Emergency/Urgent Care,Emergency provider report
basic information,No,Emergency/Urgent Care,Emergency provider report
General,Yes,Emergency/Urgent Care,Emergency provider report
Medical decision making,Yes,Emergency/Urgent Care,Emergency provider report
Ddischarge Summary,Yes,Emergency/Urgent Care,Emergency provider report
Medication Reconciliation,Yes,Emergency/Urgent Care,Emergency provider report
Procedure,Yes,Emergency/Urgent Care,Emergency provider report
General Assessment,Yes,Emergency/Urgent Care,Emergency provider report
Diagnoses,Yes,Emergency/Urgent Care,Emergency provider report
ED Triage Allergies/Meds ,Yes,Emergency/Urgent Care,Emergency provider report
Medication List,Yes,Emergency/Urgent Care,Emergency provider report
History pf present Illness,Yes,Emergency/Urgent Care,Emergency provider report
Health Status,Yes,Emergency/Urgent Care,Emergency provider report
Past Medical/Family/Social history,Yes,Emergency/Urgent Care,Emergency provider report
Notes,Yes,Emergency/Urgent Care,Emergency provider report
ReExamination/ Reevaluation,Yes,Emergency/Urgent Care,Emergency provider report
Impression and Plan,Yes,Emergency/Urgent Care,Emergency provider report
Subjective Nursing Assessment,Yes,Emergency/Urgent Care,Emergency provider report
Emergency Department Orders,Yes,Emergency/Urgent Care,Emergency provider report
Procedures,Yes,Emergency/Urgent Care,Emergency provider report
CRITICAL CARE,Yes,Emergency/Urgent Care,Emergency provider report
Laboratory Results,Yes,Emergency/Urgent Care,Emergency provider report
Medications,Yes,Emergency/Urgent Care,Emergency provider report
Past Medical/ Family/ Social History,Yes,Emergency/Urgent Care,Emergency provider report
Surgical history,Yes,Emergency/Urgent Care,Emergency provider report
Impression/plan,Yes,Emergency/Urgent Care,Emergency provider report
BASIC INFO,Yes,Emergency/Urgent Care,Emergency provider report
Physical Exam/Objective ,Yes,Emergency/Urgent Care,Emergency provider report
Clinical Scores,Yes,Emergency/Urgent Care,Emergency provider report
Chronic Problem List,Yes,Emergency/Urgent Care,Emergency provider report
Procedure/Surgical History,Yes,Emergency/Urgent Care,Emergency provider report
Physical Exam/Objective,Yes,Emergency/Urgent Care,Emergency provider report
Medication Administration,Yes,Emergency/Urgent Care,Emergency provider report
Family History,Yes,Emergency/Urgent Care,Emergency provider report
Diagnostic Results,Yes,Emergency/Urgent Care,Emergency provider report
HPI,Yes,Emergency/Urgent Care,Emergency provider report
Free TextHPI Notes,Yes,Emergency/Urgent Care,Emergency provider report
Additional Review of Systems,Yes,Emergency/Urgent Care,Emergency provider report
Past Medical History - Adult,Yes,Emergency/Urgent Care,Emergency provider report
Past Medical History:,Yes,Emergency/Urgent Care,Emergency provider report
Focused PE,Yes,Emergency/Urgent Care,Emergency provider report
HPI-General Illness,Yes,Emergency/Urgent Care,Emergency provider report
HPI-General Illness Free Text HPI Notes,Yes,Emergency/Urgent Care,Emergency provider report
 Allergies,Yes,Emergency/Urgent Care,Emergency provider report
 Chief Complaint,Yes,Emergency/Urgent Care,Emergency provider report
INITIAL MEDICAL SCREENING,Yes,Emergency/Urgent Care,Emergency provider report
 Impression and Plan,Yes,Emergency/Urgent Care,Emergency provider report
Physical Examination,Yes,Emergency/Urgent Care,Emergency provider report
 History of Present Illness,Yes,Emergency/Urgent Care,Emergency provider report
 Physical Examination,Yes,Emergency/Urgent Care,Emergency provider report
 Medical Decision Making,Yes,Emergency/Urgent Care,Emergency provider report
 Reexamination/ Reevaluation,Yes,Emergency/Urgent Care,Emergency provider report
Lab results: Laboratory,Yes,Emergency/Urgent Care,Emergency provider report
Past Medical/Surgical History,Yes,Encounter Details,Progress Note
Recommendations,Yes,EP Consultation Note,CONSULTATION REPORT
Diagnosis,Yes,EP Consultation Note,CONSULTATION REPORT
Interventions,Yes,EP Consultation Note,CONSULTATION REPORT
Monitoring and Evaluation,Yes,EP Consultation Note,CONSULTATION REPORT
Result,No,EP Consultation Note,CONSULTATION REPORT
Basic information,No,EP Consultation Note,CONSULTATION REPORT
Current medications,Yes,EP Consultation Note,CONSULTATION REPORT
Intake and Output,Yes,EP Consultation Note,CONSULTATION REPORT
Review / Management,Yes,EP Consultation Note,CONSULTATION REPORT
procedure,Yes,EP Consultation Note,CONSULTATION REPORT
Procedure/surgical history,Yes,EP Consultation Note,CONSULTATION REPORT
Code Status,No,EP Consultation Note,CONSULTATION REPORT
GENERAL,Yes,EP Consultation Note,CONSULTATION REPORT
Laboratory Data,No,EP Consultation Note,CONSULTATION REPORT
CT Abd/Pelvis w/o Contras,No,EP Consultation Note,CONSULTATION REPORT
CT Thorax w/ Contrast,No,EP Consultation Note,CONSULTATION REPORT
IMAGING,No,EP Consultation Note,CONSULTATION REPORT
IMPRESSION,Yes,EP Consultation Note,CONSULTATION REPORT
RECOMMENDATION,Yes,EP Consultation Note,CONSULTATION REPORT
CONCLUSIONS,Yes,EP Consultation Note,CONSULTATION REPORT
DIAGNOSTIC DATA,Yes,EP Consultation Note,CONSULTATION REPORT
Reason for Consultations,Yes,EP Consultation Note,CONSULTATION REPORT
Procedures/surgical history,Yes,EP Consultation Note,CONSULTATION REPORT
SUBJECTIVE,Yes,EP Consultation Note,CONSULTATION REPORT
PROBLEM LIST,Yes,EP Consultation Note,CONSULTATION REPORT
PROPHYLAXIS,No,EP Consultation Note,CONSULTATION REPORT
PHYSICIAN COVID ASSESSMENT,Yes,EP Consultation Note,CONSULTATION REPORT
 DISPOSITION,Yes,EP Consultation Note,CONSULTATION REPORT
OBJECTIVE,Yes,EP Consultation Note,CONSULTATION REPORT
 LABS,No,EP Consultation Note,CONSULTATION REPORT
RADIOLOGY,No,EP Consultation Note,CONSULTATION REPORT
DISPOSITION,Yes,EP Consultation Note,CONSULTATION REPORT
Home Medications,Yes,EP Consultation Note,CONSULTATION REPORT
Hospital Medications,Yes,EP Consultation Note,CONSULTATION REPORT
Past History,Yes,EP Consultation Note,CONSULTATION REPORT
Diagnostics,Yes,EP Consultation Note,CONSULTATION REPORT
IDENTIFYING DATA,Yes,EP Consultation Note,CONSULTATION REPORT
PAST MEDICAL AND SURGICAL HISTORY,Yes,EP Consultation Note,CONSULTATION REPORT
PSYCHO SOCIAL HISTORY,Yes,EP Consultation Note,CONSULTATION REPORT
Reason for consult,Yes,EP Consultation Note,CONSULTATION REPORT
"Diagnosis, Assessment & Plan",Yes,EP Consultation Note,CONSULTATION REPORT
NARRATIVE,Yes,EP Consultation Note,CONSULTATION REPORT
PMH,Yes,EP Consultation Note,CONSULTATION REPORT
History - Adult longitudinal,Yes,EP Consultation Note,CONSULTATION REPORT
MAGING AND LABORATORY DATA,Yes,EP Consultation Note,CONSULTATION REPORT
REVIEW OF SYSTEM,Yes,EP Consultation Note,CONSULTATION REPORT
DIAGNOSTIC STUDIES,Yes,EP Consultation Note,CONSULTATION REPORT
Home Medications (2) Active,Yes,EP Consultation Note,CONSULTATION REPORT
CHIEFCOMPLAINT,Yes,EP Consultation Note,CONSULTATION REPORT
HISTORY OFPRESENT ILLNESS,Yes,EP Consultation Note,CONSULTATION REPORT
PASTMEDICAL HISTORY,Yes,EP Consultation Note,CONSULTATION REPORT
LABORATORY EXAMINATION,Yes,EP Consultation Note,CONSULTATION REPORT
Historyof Present Illness,Yes,EP Consultation Note,CONSULTATION REPORT
Review /Management,Yes,EP Consultation Note,CONSULTATION REPORT
CONSULTING PHYSICIAN,Yes,EP Consultation Note,CONSULTATION REPORT
OPERATIVE NOTE,Yes,EP Lab Intraoperative Record,OPERATIVE REPORT
POST PROCEDURAL DIAGNOSIS,Yes,FGTBA Left ARTERIAL CATHETERIZATION,OPERATIVE REPORT
Substance History ,Yes,FMC Anesthesia Record,Anesthesia Reports
PRIMARY DISCHARGE DIAGNOSIS,Yes,FMC Discharge Summary,Discharge Summary
Impression/Plan,Yes,FMC H&P,History & Physical
Specimens Removed,Yes,FMC Operative Report,OPERATIVE REPORT
Allergies,Yes,FMCH FOLLOW UP CONSULTATION NOTE,CONSULTATION REPORT
Hematology,Yes,General Laboratory,LAB
Urinalysis Cells,Yes,General Laboratory,LAB
Vital Signs,Yes,General Medicine Medicine Progress Note,Progress Note
MEDICATIONS,Yes,General Procedures,OPERATIVE REPORT
PHYSICAL EXAM:,Yes,General Progress/ Information Relay Note,Progress Note
Past Medical History,Yes,H&P,History & Physical
HPI,Yes,H&P - Encounter Notes,History & Physical
ROS,Yes,H&P - Encounter Notes,History & Physical
Present Illness,Yes,H&P - Inpatient Notes (,History & Physical
Past Surgical History,Yes,H&P (continued),History & Physical
Code Status,No,H&P Notes,History & Physical
Allergies,Yes,H&P Notes (continued),History & Physical
Home Medications,Yes,HISTORY & PHYSICAL,History & Physical
Physical Exam,Yes,HISTORY & PHYSICAL,History & Physical
IMMEDIATE PREOPERATIVE REASSESSMENT,Yes,History & Physical - Adul,History & Physical
Laboratory Data,Yes,History & Physical:,History & Physical
Family History,Yes,History & Physicals,History & Physical
Social History,Yes,History & Physicals (continued),History & Physical
Medications,Yes,HISTORY AND PHYSICA,History & Physical
Review of Systems,Yes,History and Physical,History & Physical
Assessment/Plan,Yes,History and Physical,History & Physical
Laboratory Tests,Yes,History and Physical,History & Physical
Labs:,Yes,History and Physical,History & Physical
Recent Labs,Yes,History and Physical,History & Physical
Results review: Lab results,Yes,History and Physical,History & Physical
PMH,Yes,History and Physical Notes,History & Physical
History of Present Illness,Yes,History and Physical Reports,History & Physical
Physical Examination,Yes,History and Physical/Admission Notes,History & Physical
Laboratory Data:,Yes,History and Physical/Admission Notes,History & Physical
Hematology Basic - Last 36 hours (20),Yes,History and Physical/Admission Notes,History & Physical
Chief Complaint,Yes,History and physicals,History & Physical
Narrative Hospital course,Yes,HIT - IM Progress Note,Progress Note
Procedures,Yes,HOSPITAL DISCHARGE SUMMARY,Discharge Summary
DISCHARGE DATE,Yes,Hospitalist Discharge Summary,Discharge Summary
Medical History,Yes,Hospitalist History &physical,History & Physical
Surgical History,Yes,Hospitalist History &physical,History & Physical
Family Medical History,Yes,Hospitalist History &physical,History & Physical
Hospital Medications,Yes,Hospitalist History &physical,History & Physical
Medications Prior To Hospitalization,Yes,Hospitalist History &physical,History & Physical
Brief Historical Review,Yes,Hospitalist History &physical,History & Physical
Procedure / Operative Data,Yes,Hospitalist History &physical,History & Physical
CONSULTING PHYSICIAN,Yes,Hospitalist History &physical,History & Physical
REASON FOR CONSULTATION,Yes,Hospitalist History &physical,History & Physical
Labs,No,Hospitalist History &physical,History & Physical
Imaging,No,Hospitalist History &physical,History & Physical
Vitals,Yes,Hospitalist History &physical,History & Physical
REASON FOR CONSULT,Yes,Hospitalist History &physical,History & Physical
CARDIOLOGY ATTENDING,Yes,Hospitalist History &physical,History & Physical
Brief HPI,Yes,Hospitalist History &physical,History & Physical
Recent Labs,No,Hospitalist History &physical,History & Physical
ASSESSMENT/ PLAN,Yes,Hospitalist History &physical,History & Physical
Objective,Yes,Hospitalist History &physical,History & Physical
PRE-PROCEDURE ATTESTATION STATEMENT,No,Hospitalist History &physical,History & Physical
PREVIOUS CARDIAC TESTING,No,Hospitalist History &physical,History & Physical
RECOMMENDATIONS,Yes,Hospitalist History &physical,History & Physical
Basic Information,No,Hospitalist History &physical,History & Physical
Problems,Yes,Hospitalist History &physical,History & Physical
Consultants,Yes,Hospitalist History &physical,History & Physical
Health Status,Yes,Hospitalist History &physical,History & Physical
Problem list,Yes,Hospitalist History &physical,History & Physical
Review I Managemen,Yes,Hospitalist History &physical,History & Physical
impression and Plan,Yes,Hospitalist History &physical,History & Physical
Completed Action List,Yes,Hospitalist History &physical,History & Physical
Review! Management,Yes,Hospitalist History &physical,History & Physical
MEDICATIONS PRIOR TO HOSPITAL ADMISSION,Yes,Hospitalist History &physical,History & Physical
LABS/DIAGNOSTIC TESTS,No,Hospitalist History &physical,History & Physical
History information,Yes,Hospitalist History &physical,History & Physical
Reason for History and Physical,Yes,Hospitalist History &physical,History & Physical
Prior to Admission medications,Yes,Hospitalist History &physical,History & Physical
ICU Checklist,No,Hospitalist History &physical,History & Physical
Imaging/Procedures,Yes,Hospitalist History &physical,History & Physical
LABS / RADIOLOGY,Yes,Hospitalist History &physical,History & Physical
PSH,Yes,Hospitalist History &physical,History & Physical
problem List/Past Medical History,Yes,Hospitalist History &physical,History & Physical
Procedure/Surgical History,Yes,Hospitalist History &physical,History & Physical
Procedure/ Operative Data,Yes,Hospitalist History &physical,History & Physical
Vital Signs,Yes,Hospitalist History &physical,History & Physical
Procedure/Operative Data,Yes,Hospitalist History &physical,History & Physical
Radiological images,Yes,Hospitalist History &physical,History & Physical
Visit Information,Yes,Hospitalist History &physical,History & Physical
Histories,Yes,Hospitalist History &physical,History & Physical
Review / Management,Yes,Hospitalist History &physical,History & Physical
Past Medical History/Problem List,Yes,Hospitalist History &physical,History & Physical
Allergy,Yes,Hospitalist History &physical,History & Physical
PREOPERATIVE DIAGNOSES,Yes,Hospitalist History &physical,History & Physical
POSTOPERATIVE DIAGNOSES,Yes,Hospitalist History &physical,History & Physical
PROCEDURE PERFORMED,Yes,Hospitalist History &physical,History & Physical
DESCRIPTION OF PROCEDURE,Yes,Hospitalist History &physical,History & Physical
Allergies/Adverse Allergies/Adverse Reactions,Yes,Hospitalist History &physical,History & Physical
Past Past Medical/Surgical Medical/Surgical History,Yes,Hospitalist History &physical,History & Physical
Exam,Yes,Hospitalist History &physical,History & Physical
History,Yes,Hospitalist History &physical,History & Physical
ASSESSMENT AND PLAN,Yes,Hospitalist History &physical,History & Physical
Informed Consent,No,Hospitalist History &physical,History & Physical
Hospital course,Yes,Hospitalist History &physical,History & Physical
Disposition,Yes,Hospitalist History &physical,History & Physical
Past History Review,Yes,Hospitalist History &physical,History & Physical
TESTING,No,Hospitalist History &physical,History & Physical
Assessment/Orders,Yes,Hospitalist History &physical,History & Physical
Discontinued Medications,Yes,Hospitalist History &physical,History & Physical
Assessment & Plan,Yes,Hospitalist History &physical,History & Physical
Procedure,Yes,Hospitalist History &physical,History & Physical
Date of Service,Yes,Hospitalist History &physical,History & Physical
Intake and Output,Yes,Hospitalist History &physical,History & Physical
Lab Results,Yes,Hospitalist History &physical,History & Physical
Review of system,Yes,Hospitalist History &physical,History & Physical
REASON FOR ADMISSION,Yes,Hospitalist History &physical,History & Physical
EXAMINATION,Yes,Hospitalist History &physical,History & Physical
IMPRESSION,Yes,Hospitalist History &physical,History & Physical
physical Examinations,Yes,Hospitalist History &physical,History & Physical
Diagnostic data,Yes,Hospitalist History &physical,History & Physical
Data Review,Yes,Hospitalist History &physical,History & Physical
Diagnostic Results,Yes,Hospitalist History &physical,History & Physical
General HPI,Yes,Hospitalist History &physical,History & Physical
trauma Information,Yes,Hospitalist History &physical,History & Physical
Primary Survey,No,Hospitalist History &physical,History & Physical
Disability Assessment,No,Hospitalist History &physical,History & Physical
Review of Systems/ Patient History,Yes,Hospitalist History &physical,History & Physical
Secondary Survey Physical Exam,Yes,Hospitalist History &physical,History & Physical
Results and Procedures Interpretation,No,Hospitalist History &physical,History & Physical
CURRENT MEDICATIONS,Yes,Hospitalist History &physical,History & Physical
RECOMMENDATION,Yes,Hospitalist History &physical,History & Physical
problem ist/past medical history,Yes,Hospitalist History &physical,History & Physical
Reason for Angiogram,Yes,Hospitalist History &physical,History & Physical
RADIOGRAPHIC STUDIES,No,Hospitalist History &physical,History & Physical
SocialWork Assessment,No,Hospitalist History &physical,History & Physical
Assessment Data,Yes,Hospitalist History &physical,History & Physical
Initial Discharge Planning,No,Hospitalist History &physical,History & Physical
ADMISSION DIAGNOSIS,Yes,Hospitalist History &physical,History & Physical
DISCHARGE CONDITION,Yes,Hospitalist History &physical,History & Physical
DISCHARGE MEDICATIONS,Yes,Hospitalist History &physical,History & Physical
Social History summary,Yes,Hospitalist History &physical,History & Physical
PastMedical History/Problem List,Yes,Hospitalist History &physical,History & Physical
Social,Yes,Hospitalist History &physical,History & Physical
Family,Yes,Hospitalist History &physical,History & Physical
MEDS,Yes,Hospitalist History &physical,History & Physical
FAM Hx,Yes,Hospitalist History &physical,History & Physical
SOC Hx,Yes,Hospitalist History &physical,History & Physical
DIAGNOSTIC STUDIES,No,Hospitalist History &physical,History & Physical
ADMISSION CHECKLIST,No,Hospitalist History &physical,History & Physical
ORDERS,Yes,Hospitalist History &physical,History & Physical
Diagnosis and Procedure Summary,Yes,Hospitalist History &physical,History & Physical
